"","Drone_1","Drone_2","Drone_3","Drone_4","Drone_5","Drone_6","Queen_1","Queen_2","Queen_3","Queen_4","queen_5","Queen_6","Worker_1","Worker_2","Worker_3","Worker_4","Worker_5","Worker_6"
"LOC411785",88.636,82.547,81.481,95.662,87.359,100.985,93.555,84.432,86.625,84.833,85.464,82.187,103.705,83.759,99.734,92.061,88.636,100.319
"LOC552128",110.818,120.417,121.921,111.011,129.663,117.311,189.608,125.399,123.892,131.33,138.847,145.752,104.184,118.705,100.712,112.563,110.551,145.166
"Adar",17.527,19.425,18.944,17.951,19.351,18.533,16.387,18.407,14.957,16.213,14.484,13.304,21.702,17.221,19.288,17.543,17.505,11.367
"LOC725764",16.592,13.232,12.616,10.6,14.838,12.084,24.715,18.544,20.216,20.04,24.604,15.72,18.928,16.792,27.79,23.647,22.723,28.345
"Mrjp5",0,0.125,0.066,0.058,0.108,0.133,0.126,0.192,0.169,0.128,0,0,0.128,0,0.123,0,0.063,0.119
"LOC725799",39.844,36.836,41.169,38.418,33.384,28.945,15.949,32.377,22.172,24.643,17.965,27.299,20.849,30.261,18.537,19.934,17.072,12.913
"LOC102654968",3.946,4.335,6.607,5.838,3.978,9.883,14.322,13.288,19.267,6.727,7.15,7.147,11.595,3.779,12.147,7.456,8.053,9.877
"LOC552254",25.288,26.681,31.451,24.943,27.225,31.877,28.032,25.343,28.711,26.765,28.922,25.511,26,24.369,25.429,26.221,30.72,32.092
"LOC100576640",20.325,23.347,23.194,22.793,19.931,18.468,12.761,16.156,13.267,12.594,10.183,14.922,14.562,16.913,13.397,14.257,11.39,8.371
"LOC726696",21.811,39.239,52.354,25.945,28.815,41.07,18.609,27.267,24.425,27.024,28.917,30.867,42.581,39.584,34.741,26.219,50.212,35.438
"LOC411907",2.525,2.016,1.98,2.674,2.425,1.994,1.393,1.373,1.145,1.522,0.883,1.291,1.484,1.223,0.936,1.236,1.167,0.974
"LOC113219097",0,0,0.851,0.376,0,0,0.203,0,0,0.413,0,0.237,0.618,0,0.197,0.586,0,0
"LOC725258",214.906,175.961,213.162,177.829,162.083,186.854,463.22,554.967,454.69,472.083,403.682,546.575,201.169,151.737,151.317,188.617,123.575,138.766
"LOC725620",81.111,71.953,73.092,65.22,83.361,85.706,107.251,80.371,107.877,97.548,119.422,71.758,79.774,76.854,90.48,98.765,100.207,120.915
"LOC100577833",176.254,128.569,175.668,127.71,108.94,168.646,210.853,210.343,246.307,244.664,315.705,242.443,146.976,194.402,167.871,181.91,209.339,231.372
"LOC102656505",13.621,9.811,10.86,13.697,10.694,18.286,8.56,8.901,7.198,9.812,5.796,4.621,12.606,8.78,10.622,10.363,8.949,4.396
"LOC552223",269.195,270.921,257.759,269.458,239.483,264.101,290.92,271.993,273.086,271.071,301.758,292.519,245.013,269.19,260.598,284.879,231.612,294.148
"LOC107964014",6.362,4.529,4.969,6.159,5.545,3.81,0.886,0.574,0.505,0.612,0.292,0.496,1.185,1.321,0.689,0.613,0.632,0.4
"LOC102656490",2.05,1.621,1.92,2.567,2.089,1.254,0.744,1.606,1.237,0.856,0.818,1.331,1.508,1.449,1.108,1.335,0.786,1.073
"LOC102654050",0.031,0.043,0.105,0.08,0.111,0.076,0.043,0.116,0.051,0,0.059,0.05,0.16,0.072,0.056,0.11,0.1,0.081
"LOC412557",141.06,125.109,134.321,134.898,112.45,126.531,151.397,144.879,144.262,150.707,152.373,161.333,138.521,128.518,134.016,136.004,127.54,126.249
"LOC725925",38.688,36.664,45.376,67.804,50.003,63.954,83.753,74.966,66.061,42.496,47.282,45.382,59.336,33.281,61.401,61.3,45.228,50.312
"LOC726274",3.037,2.592,11.043,3.467,3.15,10.48,2.181,2.03,3.185,3.63,1.078,5.8,2.387,3.691,3.813,2.013,1.988,5.167
"LOC724126",15.41,13.037,13.508,11.355,10.237,12.549,21.816,22.96,28.132,25.955,24.408,32.02,12.067,24.749,15.22,12.536,12.667,22.628
"LOC551396",19.984,21.85,20.638,17.999,18.781,19.893,15.7,17.387,14.206,17.008,18.007,19.941,17.023,17.436,16.483,16.685,14.248,16.473
"LOC552768",57.436,54.658,52.853,56.267,54.674,60.668,88.767,71.272,80.557,69.292,86.508,74.385,54.822,60.231,67.195,66.741,63.294,79.644
"LOC412608",12.804,21.257,10.182,14.793,19.113,18.023,16.537,13.682,16.139,11.201,10.74,17.432,7.428,18.255,10.007,9.946,6.899,10.989
