"","Drone_1","Drone_2","Drone_3","Drone_4","Drone_5","Drone_6","Queen_1","Queen_2","Queen_3","Queen_4","queen_5","Queen_6","Worker_1","Worker_2","Worker_3","Worker_4","Worker_5","Worker_6"
"LOC102654911",13.245,10.314,11.564,9.921,9.226,12.154,11.376,9.24,8.275,10.732,9.077,8.221,14.934,13.878,13.693,14.172,13.49,10.091
"LOC412629",19.581,19.273,20.753,21.233,20.675,20.959,20.111,18.76,21.805,21.341,23.108,25.217,20.045,18.675,18.112,18.243,20.027,24.291
"LOC107964939",2.655,1.044,2.785,2.256,1.86,4.851,1.442,1.796,1.828,2.646,1.2,1.165,2.923,1.565,1.185,1.92,1.704,0.887
"LOC408299",83.987,62.801,80.055,43.072,50.857,45.793,60.017,65.604,67.223,106.032,92.343,111.006,49.383,64.816,35.291,40.885,35.065,28.771
"LOC411037",0.339,0.463,0.326,0.432,0.402,0.329,0.052,0.105,0.046,0.105,0.161,0,0.527,0.262,0.353,0.2,0.463,0.342
"LOC107964597",0,0,0.108,0,0,0,0,0,0.092,0,0,0.12,0.105,0.104,0,0,0,0
"LOC408264",48.236,28.695,41.575,39.252,29.544,38.248,18.868,18.504,20.111,25.884,19.264,21.232,26.817,38.2,22.148,26.216,24.582,16.985
"LOC410223",51.95,42.813,42.854,43.741,50.5,51.909,79.567,44.832,61.246,59.19,66.075,56.451,53.958,49.948,59.68,57.32,65.783,78.341
"LOC102654736",21.252,20.731,22.167,24.935,22.389,19.169,16.799,18.304,15.878,16.208,12.724,14.768,18.747,19.261,16.314,18.784,14.694,12.924
"LOC408275",101.082,102.903,90.91,96.137,105.511,99.62,49.062,52.292,55.062,56.358,45.187,43.542,72.099,78.771,52.576,62.168,50.941,37.029
"LOC409626",3308.302,2379.628,3457.094,2172.415,2283.792,2775.452,2804.819,4560.942,4603.792,3452.174,4715.182,4181.834,2015.996,2067.503,2358.704,1925.734,1571.818,2030.124
"LOC727490",16.012,13.363,12.437,16.918,15.815,15.708,23.214,22.914,21.174,19.248,23.522,16.397,19.885,18.913,22.635,20.231,24.77,26.434
"LOC100576847",7.576,15.282,9.142,5.427,13.732,11.51,5.326,6.356,5.837,4.989,4.22,3.981,4.842,6.464,4.509,5.908,7.305,7.189
"LOC100576885",17.973,18.227,18.246,13.647,20.421,14.367,21.92,23.616,25.551,20.758,26.283,21.61,19.071,18.2,24.496,19.344,20.054,25.324
"LOC410349",4.676,6.673,5.955,3.329,4.194,4.774,9.063,6.465,8.69,9.432,8.856,6.91,7.18,6.553,9.139,6.255,9.552,7.427
"LOC413096",26.821,29.901,29.632,31.488,30.784,29.784,27.264,33.843,30.812,26.195,26.649,31.724,28.61,28.889,29.035,27.293,25.861,27.242
"LOC113219374",0.259,0.235,0,0.22,0,1.002,0,0,0.212,0.724,0.245,0,0,0.479,0,0.457,0,0
"LOC408916",1.225,0.886,0.589,0.949,1.253,0.663,0.762,0.603,0.826,0.538,0.648,0.502,1.51,1.235,1.094,1.051,0.952,1.526
"LOC113219316",1.207,1.884,0.166,0.732,2.452,0.668,0.634,0.321,0.423,0.483,0.163,0.555,2.248,3.353,1.385,1.981,2.041,1.192
"LOC410254",287.947,320.578,262.361,256.992,305.362,200.612,116.812,162.69,122.543,134.961,110.608,112.676,184.793,252.774,145.784,198.096,164.334,120.511
"LOC724439",44.161,60.724,30.384,35.565,35.268,29.471,15.313,14.678,18.03,18.061,12.348,17.936,28.85,26.144,24.361,23.568,25.978,26.264
"LOC408580",33.218,33.385,30.581,30.161,30.776,30.921,35.469,29.522,37.181,33.751,37.467,37.332,28.701,28.874,30.483,34.372,26.995,37.602
"LOC413684",1.485,1.284,0.999,2.397,1.818,0.863,0.478,0.414,0.486,1.108,0.633,0.398,0.83,0.481,0.398,0.656,1.149,0.77
"LOC408327",103.5,113.534,94.116,101.271,95.977,112.665,50.882,69.195,57.856,83.71,54.677,74.49,81.115,75.979,58.289,72.105,57.162,62.737
"LOC551621",0.053,0.049,0.205,0.091,0.084,0.052,0.049,0.149,0.087,0.199,0.202,0,0.149,0.247,0,0.236,0.195,0.139
"LOC410128",137.08,121.547,118.259,139.424,127.15,133.545,169.315,155.595,145.064,142.349,146.93,138.02,138.595,113.13,130.37,138.195,120.851,128.253
"LOC100576300",21.761,20.367,17.937,19.214,22.155,20.369,33.232,20.978,24.001,22.463,23.493,19.605,22.709,21.56,20.68,23.813,24.757,26.339
"LOC100578354",0.672,1.427,0.861,0.571,0.707,0.434,0.617,0.416,0.733,0.209,0.424,0.72,1.876,0.207,0.799,0.791,0.408,0.774
"LOC414038",87.887,80.425,74.669,80.313,81.18,69.976,111.218,107.604,122.978,110.448,125.958,101.705,88.672,84.712,97.155,100.757,106.37,116.605
"LOC100577496",0.621,0.808,0.469,0.679,0.912,0.817,0.653,0.495,0.799,0.29,0.42,0.381,0.785,1.068,0.238,0.667,0.727,0.575
"LOC725237",3.846,3.743,4.379,4.658,4.855,6.808,6.788,6.045,5.356,5.114,3.768,5.972,6.835,7.491,7.026,6.447,6.562,6.915
"LOC410833",10.101,7.091,9.129,10.547,8.174,12.142,20.029,9.509,14.844,13.626,11.41,12.657,13.829,8.79,14.235,12.371,13.743,17.67
"LOC552012",15.959,16.023,16.439,18.758,15.55,15.519,14.614,13.143,14.613,14.595,14.814,19.409,14.688,14.426,15.769,12.879,15.682,15.427
"LOC412714",116.208,120.101,114.915,131.017,115.409,107.54,89.372,100.672,77.825,89.083,80.762,105.455,96.44,114.911,82.973,95.953,80.585,82.163
"LOC724311",35.801,35.028,34.529,39.34,33.769,32.053,20.385,26.621,22.212,25.87,22.502,24.764,27.975,29.509,21.465,23.489,25.108,17.32
"LOC102655676",2.003,1.603,1.693,1.96,1.87,2.058,2.511,1.92,1.689,1.982,1.38,1.171,1.753,1.18,1.626,1.985,1.548,1.259
"LOC411805",1.16,1.137,2.359,1.819,1.445,2.203,1.23,1.95,2.118,1.706,1.901,2.63,2.867,2.354,1.832,2.168,2.843,1.658
"LOC552109",255.118,280.137,255.933,264.92,258.999,225.886,246.885,287.863,242.8,245.427,245.283,287.645,227.066,262.401,223.252,242.769,215.115,240.948
"LOC724892",0.421,1.863,0.695,0.409,0.809,0.292,0.332,0.728,0.197,0.899,0.741,0.516,0.336,0.557,0.161,0.16,0.877,0.104
"LOC102655614",5.626,3.56,5.602,4.576,4.477,4.328,2.641,3.488,3.037,3.611,2.342,2.652,3.828,3.768,3.669,3.209,3.815,2.241
"LOC552370",14.947,14.378,13.506,16.754,16.011,13.909,17.036,16.756,15.954,13.036,13.394,14.719,13.989,16.613,16.198,14.567,15.687,16.224
"LOC408306",13.823,9.764,13.499,14.437,14.255,12.096,5.105,5.719,5.716,7.538,4.807,4.982,5.705,8.893,4.596,6.614,5.295,3.275
"LOC100577919",37.88,40.377,30.893,32.033,29.296,28.912,23.34,33.907,23.813,36.174,25.562,33.341,26.389,23.218,15.376,23.898,16.049,12.609
"LOC551650",74.081,99.868,73.531,78.425,95.99,95.981,68.437,77.438,66.688,70.005,73.762,65.761,71.108,80.063,70.289,75.796,82.321,87.902
"LOC726952",14.577,19.936,19.602,22.787,18.898,16.565,26.05,24.301,24.538,20.901,21.812,24.086,15.576,22.029,20.903,15.785,19.539,23.778
"LOC550745",104.73,94.569,108.197,105.569,96.144,105.657,105.199,96.373,103.008,102.755,106.233,114.758,102.03,100.881,102.514,101.721,100.477,115.36
"LOC100579059",8.185,5.507,4.293,8.382,5.974,5.022,5.473,3.438,4.617,3.964,3.114,2.599,6.841,3.734,5.443,5.664,4.131,4.128
"LOC410635",444.912,479.227,426.392,431.778,432.105,380.87,384.54,563.228,409.437,404.363,455.92,453.492,489.769,552.247,456.112,517.793,476.092,459.213
"LOC100578998",3.92,0.397,0.733,1.665,0.516,1.055,2.903,0.101,0.802,2.641,1.856,0.934,1.319,0.504,0.972,1.444,1.587,1.318
"LOC552458",55.003,51.5,56.994,55.669,56.712,59.058,76.964,54.732,60.732,55.029,62.45,56.837,54.011,47.113,56.468,60.928,56.689,66.082
"LOC100576608",7.4,5.882,9.149,7.684,6.125,9.102,9.611,5.135,8.942,6.027,8.787,6.674,8.643,5.329,11.536,8.617,8.236,13.602
"TRNAS-AGA_2",0,0,0,0,0,0,0,0,0,0,0,0,0,1.635,0,0,0,0
"LOC551763",223.12,206.524,204.306,212.708,218.039,218.618,275.649,236.33,268.506,249.111,269.567,248.067,218.384,223.613,257.153,228.301,231.081,275.037
"LOC411603",23.076,21.159,22.983,25.441,25.57,27.3,38.137,38.738,43.941,28.962,42.143,29.806,26.61,25.131,38.949,31.177,29.269,40.027
"LOC102655232",0.099,0,0,0.084,0,0.095,0,0.183,0,0,0,0.106,0.092,0.182,0,0,0,0
"LOC100576742",45.302,42.068,35.979,32.191,37.396,33.525,23.143,28.787,23.641,25.818,23.47,32.117,33.282,42.625,26.939,29.945,28.065,23.207
"LOC409405",144.51,140.387,147.062,144.909,121.085,132.743,139.283,125.112,101.136,140.454,103.011,106.239,145.248,124.543,126.612,149.767,124.367,129.692
"LOC408286",90.878,110.011,109.566,106.519,99.742,97.611,94.581,112.465,102.658,98.358,94.473,121.308,79.581,98.727,79.03,68.363,75.247,84.274
"LOC100578592",0.44,0.172,0.362,0.213,0.546,0.426,0.404,0.292,0.308,0.352,0.059,0.269,0.058,0.465,0.336,0.111,0.172,0.163
"LOC551154",242.298,295.173,234.462,255.87,265.256,219.42,428.184,473.931,435.005,395.278,499.245,401.982,311.718,384.456,351.72,340.226,366.011,385.305
"LOC413279",29.238,37.782,37.187,40.958,33.121,25.275,25.243,32.947,28.824,24.345,22.13,33.369,22.938,31.245,25.637,20.934,20.232,22.732
"LOC724901",153.855,147.508,143.048,158.466,155.557,150.772,237.362,203.129,205.69,183.749,211.853,192.387,174.083,171.75,188.948,179.423,187.072,207.452
"LOC102656248",4.749,9.092,23.774,5.166,8.557,13.155,6.611,6.729,9.665,15.404,11.222,7.756,18.686,10.274,8.044,7.572,21.786,11.738
"LOC552722",65.222,64.122,58.548,52.044,62.606,53.566,102.941,81.428,92.977,75.542,110.61,81.226,60.171,68.084,82.477,73.431,81.865,94.73
"LOC412024",17.662,17.257,15.493,14.128,14.977,16.69,16.792,14.104,15.516,15.192,13.299,16.165,17.494,16.593,19.231,15.84,17.731,17.349
"LOC726350",88.283,82.479,76.478,75.784,79.893,84.274,32.365,45.753,34.94,52.698,33.797,46.608,53.686,69.302,41.799,49.925,47.063,35.626
"LOC552505",51.184,38.035,44.933,40.584,35.993,31.795,24.329,25.72,23.554,26.648,23.04,29.54,31.181,30.952,23.408,27.302,23.564,15.598
"LOC724442",34.417,39.996,35.268,32.581,38.14,28.682,24.935,24.485,24.988,23.615,21.409,27.826,29.755,32.877,26.959,26.345,28.844,29.172
"LOC551123",58.816,44.991,50.652,44.222,43.769,47.202,42.202,55.02,48.022,71.931,51.88,39.772,58.239,50.404,38.349,53.627,50.818,25.579
"LOC409558",179.694,168.178,162.97,173.753,165.957,170.316,179.846,146.564,154.37,188.136,177.942,173.424,161.592,150.708,148.911,158.235,152.189,159.206
"LOC412053",40.507,39.795,41.406,44.192,38.567,43.715,47.982,46.449,44.568,44.321,42.458,44.445,45.683,36.353,41.99,43.457,43.044,39.722
"LOC410332",28.051,18.113,32.363,24.827,15.831,32.906,13.204,15.173,14.602,22.233,14.339,19.01,24.343,20.489,18.015,19.966,21.443,11.248
"LOC102655866",0.116,0.211,0.278,0.246,0.137,0.224,0.213,0.108,0.142,0.324,0.164,0.062,0.7,0.214,0.258,0.256,0.263,0.25
"LOC413666",32.501,32.047,38.401,27.448,25.928,31.897,24.559,30.122,23.084,34.592,25.629,30.946,29.288,33.208,21.79,28.969,22.082,21.294
"LOC552162",8.632,9.518,11.068,9.453,9.17,9.569,10.229,11.063,10.521,10.649,13.715,13.574,7.861,12.256,11.132,8.901,10.044,10.859
"LOC100577452",11.064,9.708,7.864,10.626,9.565,8.231,10.135,9.471,10.599,9.125,10.97,11.604,8.774,9.539,11.309,9.389,9.637,13.753
"LOC551838",13.431,12.394,10.42,11.334,11.188,10.275,8.581,9.825,9.877,10.11,8.752,12.35,10.898,10.581,10.894,9.497,10.282,11.332
"LOC724393",0.132,0.361,0.381,0.225,0.418,0.512,0.364,0.123,0.541,0.37,0.501,0.567,0.862,0,0.236,0.234,0.842,0.571
"LOC113218734",0.848,0.772,0.932,1.545,0.766,1.996,4.011,2.818,2.976,3.618,3.213,1.949,3.048,2.357,2.922,2.142,1.876,3.247
"LOC100577106",3.14,3.832,3.662,3.746,4.064,3.3,1.167,2.113,1.695,1.558,1.265,2.65,2.613,1.917,1.849,2.48,1.643,2.021
"LOC409607",57.083,62.728,56.472,62.839,61.594,48.906,59.924,62.79,59.692,53.538,52.554,65.305,54.671,62.276,62.394,54.178,51.161,55.147
"LOC113218768",2.028,2.637,1.393,1.969,0.458,1.403,1.864,1.347,1.423,1.081,1.646,0.621,1.079,2.146,1.034,0.768,1.319,0.501
"LOC409780",90.817,71.029,92.127,84.903,82.975,95.766,64.962,75.35,73.265,89.008,77.372,67.996,105.33,92.619,76.206,85.893,88.221,49.176
"LOC552000",72.6,66.776,88.314,63.371,62.954,93.88,96.07,68.915,98.238,76.186,101.773,86.218,78.255,73.773,101.938,72.616,86.908,112.936
"LOC726478",14.896,16.686,27.937,25.28,23.448,26.968,26.602,32.536,23.749,31.361,29.246,30.854,29.637,21.917,20.089,29.814,28.551,20.861
"LOC724804",14.598,11.061,11.96,12.485,13.773,13.535,17.483,13.579,14.623,13.485,14.915,12.871,11.495,12.716,15.177,11.799,13.469,17.139
"LOC413089",49.178,65.997,53.801,49.408,58.386,52.878,60.976,61.645,60.242,45.414,58.201,61.109,46.972,60.668,55.589,48.076,54.006,55.628
"LOC107963996",2.421,2.204,3.387,3.179,2.435,3.198,1.518,2.354,1.531,1.54,1.98,0.708,2.973,2.649,1.179,2.043,3.007,0.666
"Vhdl",69.22,8.431,8.523,9.322,7.365,7.755,0.309,0.142,0.35,0.542,0.434,0.328,0.37,0.368,0.655,0.27,2.282,0.423
"LOC113218971",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC411510",90.84,85.162,83.858,87.452,79.845,95.035,154.623,104.583,116.538,106.432,134.035,121.551,79.253,84.438,75.656,90.977,85.288,99.806
"LOC725976",1145.993,918.415,938.992,981.683,873.273,1085.119,1794.045,1328.121,1551.653,1581.097,1890.564,1232.656,1078.753,867.739,1205.613,1231.76,1177.528,1245.987
"LOC726538",0.686,0.208,0.44,0.583,0.121,0.295,0.07,0.213,0.499,0.356,0.072,0.327,0.355,0.424,0.272,0.472,0.278,0.395
"LOC724175",1.02,0.774,0.899,0.794,0.739,0.494,0.703,1.107,0.487,1.11,0.805,0.911,0.792,0.944,1.214,1.052,0.774,1.249
"LOC410577",24.23,23.316,19.904,20.962,22.46,18.444,5.379,7.444,6.687,9.011,5.227,7.042,11.567,10.477,7.54,10.733,8.545,3.864
"LOC724965",83.949,94.808,87.971,87.524,70.129,76.036,57.149,76.149,61.639,68.009,60.685,87.599,58.494,82.774,69.373,65.563,58.795,62.443
"LOC552444",60.769,64.104,56.668,56.142,59.143,66.625,59.853,53.2,56.13,58.616,62.881,55.629,68.607,50.752,61.413,66.543,65.204,66.935
"LOC413378",61.341,61.069,63.738,56.991,60.931,70.217,68.699,62.392,61.952,67.04,77.702,64.74,62.03,55.47,67.711,65.343,63.259,78.21
"LOC724619",1.802,2.552,1.476,2.382,2.215,1.616,2.945,2.173,1.912,1.494,1.959,1.503,1.492,1.545,1.788,1.593,0.79,2.249
"LOC113219123",0.151,0,0.291,0.257,0,0.147,0,0,0,0,0,0.162,0.141,0,0.135,0,0.138,0
"LOC411986",16.135,14.746,18.003,20.689,17.666,14.393,8.395,11.106,10.848,10.008,8.225,11.249,10.407,13.851,10.683,9.58,10.051,7.614
"LOC551148",182.923,142.552,167.516,138.165,132.071,168.4,203.969,191.534,222.687,230.628,280.492,203.492,192.572,153.524,176.653,198.023,194.545,194.634
"Mir3719",3.195,1.939,1.024,0,0.841,2.063,0,0,0,0,1.008,1.142,0.992,0.986,0,0.941,0.97,0
"LOC726790",15.88,12.952,14.904,17.838,14.578,14.198,9.873,10.581,8.604,9.283,7.471,8.731,17.754,13.101,11.997,15.341,13.488,8.863
"LOC724974",8.535,11.973,8.04,9.619,12.317,13.665,16.334,8.101,11.193,11.213,11.958,9.617,10.869,13.467,12.674,10.161,11.024,13.924
"LOC724164",75.638,79.653,74.916,70.78,84.965,81.872,122.416,86.405,101.008,100.974,116.517,84.083,71.749,78.588,86.515,91.81,99.51,117.331
"LOC107965780",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC413450",124.896,120.149,110.909,117.111,119.642,110.464,152.289,142.937,125.53,131.371,147.498,149.155,114.233,133.952,132.392,118.349,106.051,126.344
"LOC724660",20.339,18.376,20.414,23.041,20.311,17.361,15.66,16.724,15.481,15.984,15.154,17.808,18.667,19.708,16.293,18.451,16.335,13.061
"LOC552802",45.08,50.078,53.38,44.161,54.759,51.973,51.343,56.639,55.904,54.77,59.096,47.069,47.158,45.012,47.157,49.063,47.179,47.245
"LOC724199",0.72,1.147,0.519,0.459,0.569,0,0.331,1.004,0.147,0.504,0.341,0,0.168,0.833,0,0,0,0.155
"LOC411569",44.89,60.545,55.031,38.673,51.523,42.093,19.58,30.518,25.333,34.416,30.587,30.613,47.711,37.86,32.34,37.667,56.541,41.964
"LOC410782",42.903,40.715,39.511,44.114,46.742,48.563,37.897,41.19,40.409,38.678,36.645,36.654,47.357,39.383,43.833,45.565,47.19,44.639
"LOC551329",417.663,396.811,416.573,440.667,372.297,385.234,486.031,532.995,467.95,501.763,534.505,551.88,385.567,401.159,367.855,394.881,338.766,392.159
"LOC100578546",2.766,2.906,2.592,2.471,3.082,3.297,4.499,3.496,4.296,2.779,3.022,2.813,3.435,3.152,4.813,3.26,4.069,3.984
"LOC413957",14.425,11.791,15.694,12.524,13.644,13.972,12.875,14.054,12.455,11.935,13.411,13.941,15.103,15.404,18.519,16.333,17.067,14.195
"LOC113219411",0,0,0.209,0.184,0,0.21,0.599,0,0,0.203,0.411,0.233,0,0,0,0.192,0,0
"LOC727130",0.754,0.687,1.016,0.641,0.477,1.096,0.902,1.754,1.297,0.774,1.357,0.809,0.843,2.235,1.684,0.867,1.03,1.565
"LOC113218937",6.733,4.215,8.21,5.261,4.56,6.93,5.361,4.082,4.528,6.002,4.441,5.737,6.216,6.402,4.348,4.889,4.873,3.325
"LOC100188940",31.692,33.507,34.147,32.891,33.98,31.621,35.966,32.014,28.677,34.909,35.755,29.666,28.439,31.301,28.66,28.915,32.522,37.225
"LOC100577908",0.104,0.317,0.201,0.059,0.138,0.101,0.192,0.065,0.057,0.097,0.066,0.075,0.227,0.161,0.093,0,0,0.12
"LOC100577982",140.479,148.883,134.394,125.515,144.676,142.386,168.071,157.234,157.956,143.641,198.651,160.402,137.054,151.551,161.794,169.015,161.591,178.536
"LOC113219052",0.239,0,0.46,0,0.189,0,0.22,0,0,0,0,0.257,0.446,0,0,0.212,0,0.207
"Hsc70-4",10146.848,9288.712,10381.642,12229.017,9789.63,10252.598,9248.181,10180.49,8181.477,8511.8,7639.631,9003.195,8662.77,7934.302,7904.973,9080.48,6556.489,8065.694
"LOC100576796",0.544,0.99,0.523,0.462,0.86,0.263,0.5,0.379,0.223,0.507,0.644,0.146,0.253,0.252,0.364,0.12,0.867,0.705
"LOC409932",39.921,36.303,38.208,45.212,31.581,35.357,22.039,28.7,27.356,30.248,20.183,27.482,29.932,32.525,33.185,31.51,25.245,28.84
"LOC551243",10.094,11.746,8.254,8.531,11.473,5.647,15.087,14.812,12.859,9.921,19.22,10.996,11.916,13.145,10.265,11.308,13.321,10.543
"LOC100578824",10.669,7.369,10.496,11.357,7.073,10.987,3.89,3.137,4.568,5.549,3.31,4.536,8.281,8.175,7.172,6.612,6.868,2.967
"LOC107964724",0.143,0.261,0.184,0.366,0.264,0.463,0.352,0.489,0.313,0.357,0.362,0.461,0.312,0.133,0.213,0.169,0.261,0.124
"LOC102653810",0.076,0.138,0,0,0.06,0.073,0,0,0,0,0.072,0,0,0,0,0.067,0.482,0.131
"LOC113219265",270.689,184.62,236.101,457.19,233.587,469.715,222.169,515.441,334.582,251.343,182.715,237.616,721.906,355.903,270.11,480.894,467.095,188.807
"LOC102653975",0.979,0.99,0.767,0.37,0.802,0.456,0.2,0.438,0.504,0.507,0.24,0.777,0.642,0.772,0.55,0.417,0.264,0.282
"LOC409544",303.542,297.189,278.642,292.465,282.339,284.348,284.553,283.709,276.337,312.118,310.04,323.127,274.342,268.292,252.238,297.856,260.835,300.695
"LOC113219272",0.648,0.197,0,0.367,0.682,0.836,1.191,0.402,1.06,0.403,0,0.694,0.201,0.6,0.771,0.382,0.786,0.187
"LOC727634",67.91,64.395,63.272,66.95,69.441,71.543,84.255,72.566,70.338,72.785,74.767,75.327,86.014,74.339,78.115,86.125,85.523,80.892
"LOC724724",55.426,74.314,64.978,72.926,64.798,68.874,90.223,92.467,79.603,75.054,73.674,80.541,73.444,74.93,68.466,66.231,73.925,70.707
"LOC102655660",1.861,2.4,2.833,2.503,2.205,2.403,3.279,2.308,1.777,2.025,2.056,1.33,1.733,2.441,1.523,2.193,0.847,1.608
"LOC107965281",60.489,58.533,62.712,65.784,62.088,66.848,64.086,58.301,59.136,58.262,62.3,66.21,53.979,56.435,57.195,56.215,53.615,68.904
"LOC726629",125.152,98.431,92.849,104.611,93.759,85.857,61.167,86.979,57.95,83.457,72.031,68.72,77.838,69.68,65.558,77.452,61.695,55.92
"LOC100578072",6.778,31.421,18.756,25.21,24.756,121.589,52.078,27.599,30.46,58.333,33.599,30.105,15.783,60.646,18.463,16.506,6.424,7.711
"LOC113218599",1.119,2.649,2.224,1.331,2.417,2.53,2.264,1.943,2.382,3.063,3.321,1.68,3.892,1.727,0.866,1.913,4.824,2.257
"LOC551297",19.599,21.576,17.353,20.255,20.363,15.333,21.961,21.342,19.399,18.813,17.578,20.053,18.694,20.547,17.625,18.49,18.449,19.096
"LOC551466",47.688,40.769,34.246,38.87,43.461,32.53,101.707,54.033,79.013,55.265,75.961,59.255,50.903,52.971,78.544,52.279,49.608,70.238
"LOC552561",0.07,0.16,0.068,0.09,0.25,0.341,0.13,0.033,0.173,0.164,0.033,0.076,0.262,0.228,0.031,0.125,0.192,0.03
"LOC725215",1.037,0.54,0.356,1.196,0.468,0.359,1.158,1.723,0.728,1.106,0.842,0.556,0.414,0.274,0.265,0.196,0.27,0.192
"LOC100576619",45.218,36.037,47.895,46.325,36.143,38.72,34.583,34.014,34.44,39.252,25.319,37.097,35.036,43.203,32.882,38.693,34.732,35.453
"LOC409550",468.744,484.44,482.489,513.737,466.52,466.433,522.777,535.629,513.278,533.877,559.381,565.235,465.865,485.082,469.192,496.776,453.869,549.775
"LOC102655523",18.235,21.391,17.704,16.983,20.92,15.455,36.431,29.846,28.562,23.065,33.54,21.806,24.333,24.028,30.996,28.051,26.026,25.76
"LOC726358",23.874,20.95,26.28,24.347,21.618,22.737,20.876,16.927,17.645,19.38,14.749,21.619,20.405,19.056,16.704,19.462,15.625,17.813
"LOC102654464",0.984,0.672,0.473,1.045,0.777,0.953,0.226,0,1.006,0.459,1.164,0.527,0.458,1.366,0.22,0.217,0.448,0
"LOC408971",3.189,3.285,4.029,2.967,2.722,3.54,2.14,2.945,3.62,3.149,2.491,2.57,4.813,4.117,4.427,3.991,3.752,3.661
"Mir281",1.406,0,0,0,1.111,0,1.293,1.308,0,0,0,0,0,0,2.511,1.243,1.28,1.215
"LOC100576384",55.768,45.039,53.65,61.109,59.508,68.819,35.233,40.682,39.161,45.776,38.914,36.653,40.141,48.933,31.189,37.037,28.503,17.674
"LOC100577827",0.48,0.334,0.457,0.416,0.722,0.803,0.13,0.131,0.135,0.22,0.147,0.177,0.461,0.222,0.345,0.271,0.21,0.122
"LOC411204",26.046,29.251,26.492,27.905,29.004,30.773,31.709,30.018,26.886,26.904,25.139,24.933,29.191,23.322,23.51,25.994,28.41,23.994
"LOC551830",25.596,24.915,25.004,28.76,24.69,19.668,20.767,25.117,21.04,21.233,18.906,25.566,20.363,26.168,20.11,21.059,18.958,16.738
"LOC113219236",2.529,1.151,0.995,0.879,2.089,1.113,2.853,2.031,2.635,2.466,3.701,2.711,2.248,2.554,4.002,3.149,3.35,4.271
"LOC409788",269.856,280.87,262.987,268.518,245.665,274.864,157.591,239.372,182.647,242.86,194.918,177.901,262.673,220.275,191.267,221.953,185.612,143.534
"LOC552008",54.488,50.595,58.59,49.347,50.497,51.202,69.473,60.328,53.869,53.871,56.925,50.571,59.336,52.9,50.645,57.206,50.545,51.893
"LOC409829",13.396,10.689,9.342,9.142,9.724,7.933,4.866,5.592,6.045,7.438,6.559,5.791,9.637,8.531,8.79,8.413,8.47,7.549
"LOC726470",48.621,51.061,64.521,45.077,55.32,61.981,38.349,40.723,35.113,36.09,28.164,44.641,53.441,43.959,45.62,39.742,38.321,28.002
"LOC726727",14.815,19.188,17.043,19.07,20.302,14.946,13.683,14.671,13.444,10.949,10.109,14.342,9.879,15.491,11.608,10.342,9.721,11.147
"TRNAP-AGG_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.738
"LOC725374",56.289,57.322,54.706,54.221,51.438,51.538,95.4,56.416,58.683,58.821,67.237,59.523,52.667,55.129,57.97,59.658,60.218,64.023
"LOC409055",107.328,116.614,117.545,108.942,117.769,115.427,163.122,131.422,126.133,121.024,128.704,123.678,118.603,109.02,112.657,115.077,124.388,139.985
"LOC410855",35.19,41.635,35.277,30.675,38.56,33.764,35.71,35.203,26.225,33.219,33.638,37.194,30.844,34.044,28.677,35.726,34.011,34.931
"TRNAK-UUU_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.807,0
"LOC725365",23.299,25.796,20.829,23.675,27.198,24.382,41.657,29.622,32.299,28.728,36.144,27.113,26.935,23.633,33.555,28.044,31.879,38.146
"TRNAQ-CUG_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC100577773",0,0,0,0,0,0,0,0.436,0.384,0,0,0,0,0,0,0,0,0
"LOC100578855",1.111,0.506,0.134,0.354,0.439,0.134,0,0,0.114,0,0.131,0,0,0,0.248,0,0,0
"LOC113218649",0.212,0.578,0,0,0.167,0,0,0,0.173,0,0.201,0.227,0,0.196,0.189,0,0.386,0
"LOC410938",9.939,9.149,9.17,12.433,9.939,9.342,8.935,7.88,9.067,8.862,7.918,9.594,10.589,9.237,9.299,11.443,9.184,9.445
"LOC726977",45.75,41.82,38.929,40.912,44.547,38.673,71.886,53.215,66.125,56.307,69.93,56.382,48.896,46.383,56.607,52.936,55.044,61.184
"LOC408865",5.09,3.847,4.034,4.378,3.96,4.124,2.369,2.923,2.315,3.034,2.44,2.156,3.541,3.098,2.3,3.319,3.519,1.616
"LOC551658",35.598,30.112,35.547,37.41,32.773,34.567,35.212,28.5,34.147,31.412,34.301,33.646,31.94,32.027,38.118,40.046,37.663,47.058
"LOC726167",33.394,36.627,38.745,33.359,31.644,33.751,31.369,30.949,33.774,33.357,30.019,36.905,33.414,32.489,34.892,32.511,34.652,38.166
"LOC725662",117.242,120.194,114.549,122.857,120.245,129.002,100.092,118.203,118.256,117.258,112.031,101.198,141.03,108.06,125.283,127.04,123.086,99.978
"LOC113218789",2.892,0.94,1.788,2.282,1.959,1.601,3.609,2.306,3.89,2.699,5.869,2.88,3.079,3.061,4.427,2.922,3.387,3.214
"LOC724717",0.423,0.577,0.813,0.18,0.835,0,0,0.197,0.519,0.197,0.4,0,0.788,0.196,0,0.561,0.578,0.183
